ID; Aktywny (0/1); Nazwa; Kategoria (x,y,z...);Cena zawiera podatek. (brutto); ID reguły podatku; W sprzedaży (0 lub 1); Widoczność (0/1); Ilość; Opis; Podsumowanie; Adresy URL zdjęcia (x,y,z...); Kod dostawcy;
100; 1; Kurs Ansible - automatyzacja zadań w praktyce; Języki programowania, DevOps, Visual Studio Code, Python, Docker, Języki programowania; 89; 1; 1; 1; 500; Poznaj techniki automatyzacji zadań z Ansible. Raz na zawsze skończ z manualną konfiguracją i pracochłonnym wdrażaniem aplikacji.; Poznaj techniki automatyzacji zadań z Ansible. Raz na zawsze skończ z manualną konfiguracją i pracochłonnym wdrażaniem aplikacji.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_ansible_-_automatyzacja_zadan_w_praktyce.jpg; 1,2; 0
101; 1; Kurs Wyrażenia regularne - od podstaw do eksperta; Języki programowania, JAVA, IntelliJ IDEA, Języki programowania; 99; 1; 1; 1; 500; Opanuj potężne możliwości wyrażeń regularnych. Zdobądź uniwersalną wiedzę o RegEx, którą zastosujesz w każdej technologii i języku programowania.; Opanuj potężne możliwości wyrażeń regularnych. Zdobądź uniwersalną wiedzę o RegEx, którą zastosujesz w każdej technologii i języku programowania.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_wyrazenia_regularne_-_od_podstaw_do_eksperta.jpg; 1,2; 0
102; 1; Kurs JAVA - programowanie wielowątkowe i optymalizacja aplikacji; Języki programowania, JAVA, JavaFX, IntelliJ IDEA, GitHub, Języki programowania; 149; 1; 1; 1; 500; Opanuj najważniejsze techniki programowania wielowątkowego. Dowiedz się jak pisać aplikacje, które optymalnie wykorzystują możliwości platformy sprzętowej.; Opanuj najważniejsze techniki programowania wielowątkowego. Dowiedz się jak pisać aplikacje, które optymalnie wykorzystują możliwości platformy sprzętowej.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_java_-_programowanie_wielowatkowe_i_optymalizacja_aplikacji.jpg; 1,2; 0
103; 1; Wprowadzenie do blockchain - Ethereum i smart kontrakty w praktyce; Języki programowania, Bazy danych, Visual Studio Code, Csharp, ASP.NET, Języki programowania; 149; 1; 1; 1; 500; Opanuj platformę Ethereum i zacznij tworzyć własne aplikacje oparte na blockchain. Poznaj język  Solidity i dowiedz się jak pisać smart kontrakty.; Opanuj platformę Ethereum i zacznij tworzyć własne aplikacje oparte na blockchain. Poznaj język  Solidity i dowiedz się jak pisać smart kontrakty.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/wprowadzenie_do_blockchain.jpg; 1,2; 0
104; 1; Kurs Machine Learning - projektowanie sieci neuronowych; Języki programowania, Python, Języki programowania; 99; 1; 1; 1; 500; Dowiedz się jak w praktyce wykorzystać sieci neuronowe. Rozwiń swoją wiedzę na temat Machine Learning i twórz zaawansowane i dobrze zoptymalizowane algorytmy sztucznej inteligencji.; Dowiedz się jak w praktyce wykorzystać sieci neuronowe. Rozwiń swoją wiedzę na temat Machine Learning i twórz zaawansowane i dobrze zoptymalizowane algorytmy sztucznej inteligencji.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_machine_learning_-_projektowanie_sieci_neuronowych.jpg; 1,2; 0
105; 1; Kurs Active Directory dla administratora systemu; Języki programowania, DevOps, Windows Server, Języki programowania; 99; 1; 1; 1; 500; Opanuj narzędzia Active Directory i rozwiń swoją wiedzę na temat administracji domeną Windows. Dowiedz się jak zarządzać użytkownikami, komputerami, grupami i wykonywać kopie zapasowe bazy danych.; Opanuj narzędzia Active Directory i rozwiń swoją wiedzę na temat administracji domeną Windows. Dowiedz się jak zarządzać użytkownikami, komputerami, grupami i wykonywać kopie zapasowe bazy danych.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_active_directory_dla_administratora_systemu.jpg; 1,2; 0
106; 1; Kurs Programowanie w Python dla dzieci i młodzieży; Języki programowania, Python, Języki programowania; 119; 1; 1; 1; 500; Naucz się programowania w Pythonie od zera. Niezależnie od wieku i Twojego poziomu doświadczenia, z tym kursem zrobisz pierwszy krok, który pozwoli Ci pisać własne programy.; Naucz się programowania w Pythonie od zera. Niezależnie od wieku i Twojego poziomu doświadczenia, z tym kursem zrobisz pierwszy krok, który pozwoli Ci pisać własne programy.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_programowanie_w_python_dla_dzieci_i_mlodziezy.jpg; 1,2; 0
107; 1; Kurs Machine Learning - drzewa decyzyjne i lasy losowe; Języki programowania, Python, Języki programowania; 149; 1; 1; 1; 500; Opanuj drzewa decyzyjne i zdobądź praktyczne umiejętności modelując zbiory danych. Naucz się rozwiązywać realne problemy dzięki uczeniu maszynowemu.; Opanuj drzewa decyzyjne i zdobądź praktyczne umiejętności modelując zbiory danych. Naucz się rozwiązywać realne problemy dzięki uczeniu maszynowemu.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_machine_learning_-_drzewa_decyzyjne_i_lasy_losowe.jpg; 1,2; 0
108; 1; Kurs Spring Boot i JavaFX - praktyczny projekt; Języki programowania, JAVA, JavaFX, Spring, Języki programowania; 149; 1; 1; 1; 500; Rozwiń swoje umiejętności programowania, tworząc projekt oparty o nowoczesne technologie Javowe: JavaFX i SpringBoot. Stwórz współpracujące ze sobą aplikacje desktopowe oraz serwerowe.; Rozwiń swoje umiejętności programowania, tworząc projekt oparty o nowoczesne technologie Javowe: JavaFX i SpringBoot. Stwórz współpracujące ze sobą aplikacje desktopowe oraz serwerowe.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_spring_boot_i_javafx_-_praktyczny_projekt.jpg; 1,2; 0
109; 1; Kurs Xamarin - tworzenie aplikacji cross-platformowych; Języki programowania, Visual Studio Code, Csharp, Języki programowania; 99; 1; 1; 1; 500; Opanuj tworzenie aplikacji cross-platformowych z Xamarin.Forms. Naucz się szybko programować aplikacje za pomocą tego samego kodu na urządzenia z iOS i Androidem.; Opanuj tworzenie aplikacji cross-platformowych z Xamarin.Forms. Naucz się szybko programować aplikacje za pomocą tego samego kodu na urządzenia z iOS i Androidem.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_xamarin_-_tworzenie_aplikacji_cross-platformowych.jpg; 1,2; 0
